100,Foley Johnson,Foley Johnson Meritage Rutherford,2014,92,$45 ,"Bordeaux-like, offering an expansive mix of currant, cedar, cigar box, riverbed
and tobacco leaf flavors. Cabernet Sauvignon, Merlot, Petit V erdot, Malbec and
Cabernet Franc. Best from 2020 through 2032. 1,429 cases made. —JL"
99,Cleto Chiarli e Figli,Cleto Chiarli e Figli Lambrusco di Sorbara del Fondatore,2016,90,$17 ,"A well-knit rosé Lambrusco, featuring a fine, lively mousse and a bright mix of
crushed raspberry, crunchy peach, dried thyme and rose petal notes, with a
tangy finish of citrus zest and spice. Drink now through 2020. 5,000 cases
made. —AN"
98,Loring,Loring Pinot Noir Sta. Rita Hills,2016,92,$38 ,"Powerful, focused and well-spiced, with flavors of dark cherry, plum tart and
dried beef that lengthen out nicely. Pastry notes linger midpalate, leading to a
finish of cola nut and chocolate nib accents. Drink now through 2022. 900
cases made. —KM"
97,Drouhin Oregon Roserock,Drouhin Oregon Roserock Chardonnay Eola-Amity Hills,2016,91,$35 ,"Polished and refined, with expressive apple, ripe cantaloupe and spice flavors
that take on richness on the long finish. Drink now through 2020. 2,866 cases
made. —TF"
96,Tabarrini,Tabarrini Montefalco Sagrantino Colle alle Macchie,2013,95,$75 ,"There's a pleasing creaminess to the intense tannins of this harmonious, fullbodied red, offering crushed cassis and black raspberry fruit that shows
accents of lavender and rosemary, with licorice, espresso and loamy earth
notes. An iron fist in a velvet glove, this should unfurl beautifully with age. Best
from 2020 through 2035. 175 cases made. —AN"
95,Ghost Pines,Ghost Pines Pinot Noir Yolo-Sonoma-Monterey Counties Winemaker's Blend,2016,90,$23 ,"Complex and spicy, offering wild plum, blackberry, spice and tea flavors that
show subtle herb shadings, ending with dusty, loamy tannins and good length.
Drink now through 2023. 13,000 cases made. —JL"
94,Matervini,Matervini Malbec Luján de Cuyo Finca Perdriel,2015,94,$90 ,"Big, rich and full-bodied, with inky accents to the ripe dark plum, cherry and
blackberry flavors. Black licorice notes show midpalate, with mocha and dark
chocolate details on the dense finish. Drink now through 2022. 336 cases
made. —KM"
93,Carol Shelton,Carol Shelton Rosé Wild Thing Rendezvous Mendocino County,2017,90,$15 ,"A spirited California rosé, with lively raspberry, cherry and spice flavors that
dance along the finish. Carignane, Zinfandel and Cabernet Sauvignon. Drink
now. 1,616 cases made. —TF"
92,Sadie Family,Sadie Family Skerpioen Swartland,2016,95,$60 ,"Intense and still youthfully tight, with verbena and white peach notes leading
the way for yellow apple, chamomile, white ginger and jasmine flavors. A lovely
quinine streak is well-embedded, giving this tension and vibrancy through the
finish. Chenin Blanc and Palomino. Drink now through 2024. 406 cases made.
—JM"
91,Ridge,Ridge Lytton Springs Dry Creek Valley,2015,92,$40 ,"Briary and subtly potent, with floral black raspberry and licorice aromas and
zesty, well-built dark cherry, smoky anise and pepper flavors that finish with
ripe tannins. Zinfandel, Petite Sirah, Carignane and Mourvèdre. Best from 2019
through 2024. 9,750 cases made. —TF"
90,Domaine St.-Préfert,Domaine St.-Préfert Châteauneuf-du-Pape Auguste Favier Réserve,2016,97,$62 ,"This is beautifully rendered, with a core of focused red currant, plum and
raspberry coulis flavors that stretches out nicely while flecks of tobacco,
bergamot and singed sandalwood weave around. A bolt of iron detail shows
through the finish, with a light echo of worn leather. Well-built, showing ample
energy in reserve. Best from 2020 through 2040. 1,400 cases made. —JM"
